ensmbl_gene_name,Du_PHH_1,Du_PHH_2,Fu_PHH_1,Fu_PHH_2,Kim_PHH_1,Kim_PHH_2,Koui_PHH_1,Koui_PHH_2,Xiang_PHH_1,Xiang_PHH_2,Xie_PHH_1,Xie_PHH_2,Xie_PHH_3,Schneeberger_PHH_1,Schneeberger_PHH_2,Gao_PHH,Boon_PHH_1,Boon_PHH_2,Wang_PHH_1,Wang_PHH_2
ENSG00000274008.1,0,0,4,17,0,0,0,0,5,1,0,2,2,0,0,0,0,0,6,0
ENSG00000122958.15,400,312,335,355,157,149,327,214,350,141,373,364,389,82,32,273,234,213,199,148
ENSG00000233163.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000156502.14,335,360,276,335,360,573,380,166,224,89,221,209,268,62,38,224,180,262,108,99
ENSG00000229261.1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000156510.13,23,1,29,9,13,244,410,109,59,87,5,38,33,2,0,153,4,13,22,131
ENSG00000231748.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000156515.23,187,35,47,87,1,22,7,2,173,46,12,136,99,0,4,25,39,42,155,21
ENSG00000229197.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000075073.15,3,1,1,1,0,0,1,0,4,0,0,3,1,0,0,0,1,2,0,2
ENSG00000232734.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000099282.10,113,17,38,18,2,9,2,2,39,13,13,92,81,4,3,1,9,11,59,5
ENSG00000287306.1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2
ENSG00000233197.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000122859.5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236154.1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
ENSG00000230755.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235803.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000235524.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231152.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000226794.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000171224.9,24,2,11,12,32,26,8,3,10,5,9,6,17,0,2,17,6,11,0,3
ENSG00000235645.2,1,7,1,2,0,2,4,5,0,1,9,0,1,0,0,0,1,0,4,0
ENSG00000230469.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197467.15,15,0,1,4,1,1,0,0,0,1,0,2,2,0,0,0,5,1,1,0
ENSG00000224222.2,1,0,0,0,2,0,0,0,0,1,5,0,1,0,0,0,0,0,1,0
ENSG00000099284.14,110,67,42,26,14,36,180,20,14,24,65,49,42,3,1,36,40,53,9,21
ENSG00000042286.15,546,475,220,206,189,395,447,203,94,74,255,164,336,31,24,411,323,385,52,54
ENSG00000156521.14,461,388,189,146,108,186,157,117,50,85,192,146,226,17,16,101,191,154,79,53
ENSG00000079332.15,1428,1159,1202,1139,804,1254,1463,622,730,462,1265,1210,1168,223,123,710,833,602,520,661
ENSG00000229097.1,0,8,17,26,1,4,0,0,3,1,8,5,7,2,0,4,1,1,1,0
ENSG00000232142.1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000180817.12,741,622,662,715,1000,1436,1990,753,880,358,733,1135,556,119,71,1166,737,648,249,277
ENSG00000148734.8,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
ENSG00000172731.14,593,404,214,175,268,259,341,203,70,105,181,415,209,26,14,255,284,217,42,54
ENSG00000224725.3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000148730.7,2899,2782,3525,3414,1009,1158,1924,1669,1350,1647,2390,1728,2948,626,337,974,1906,1440,1911,1079
ENSG00000156574.10,0,7,5,2,1,1,0,0,1,2,1,2,2,0,0,0,0,0,1,0
ENSG00000280401.1,2,4,4,0,2,6,1,2,0,1,0,3,3,1,0,0,0,1,9,3
ENSG00000107719.9,69,17,18,8,0,11,2,1,26,56,7,44,72,0,0,0,4,6,112,17
ENSG00000230661.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000180644.8,355,19,40,119,2,4,0,0,41,41,4,31,40,0,0,1,16,14,171,19
